Id,FullName,Country,GroupID
M4450,Vasco GRAÇA MOURA,Portugal,PPE-DE
M28265,Elly de GROEN-KOUWENHOVEN,Netherlands,Verts/ALE
M2247,Mathieu GROSCH,Belgium,PPE-DE
M28194,Ambroise GUELLEC,France,PPE-DE
M31123,Pedro GUERREIRO,Portugal,GUE/NGL
M28974,Umberto GUIDONI,Italy,GUE/NGL
M23805,Zita GURMAI,Hungary,PSE
M4314,Catherine GUY-QUINT,France,PSE
M28345,David HAMMERSTEIN,Spain,Verts/ALE
M28159,Benoît HAMON,France,PSE
M28275,Małgorzata HANDZLIK,Poland,PPE-DE
M1266,Klaus HÄNSCH,Germany,PSE
M4538,Malcolm HARBOUR,United Kingdom,PPE-DE
M4517,Christopher HEATON-HARRIS,United Kingdom,PPE-DE
M23806,Gyula HEGYI,Hungary,PSE
M29019,Erna HENNICOT-SCHOEPGES,Luxembourg,PPE-DE
M1222,Karsten Friedrich HOPPENSTEDT,Germany,PPE-DE
M28239,Milan HORÁČEK,Germany,Verts/ALE
M28180,Ján HUDACKÝ,Slovakia,PPE-DE
M28282,Alain HUTCHINSON,Belgium,PSE
M1833,Marie Anne ISLER BÉGUIN,France,Verts/ALE
M1370,Caroline JACKSON,United Kingdom,PPE-DE
M4271,Elisabeth JEGGLE,Germany,PPE-DE
M4440,Anne E. JENSEN,Denmark,ALDE
M4255,Pierre JONCKHEER,Belgium,Verts/ALE
M1904,Karin JÖNS,Germany,PSE
M28280,Filip KACZMAREK,Poland,PPE-DE
M28474,Ioannis KASOULIDES,Cyprus,PPE-DE
M4258,Piia-Noora KAUPPI,Finland,PPE-DE
M1905,Heinz KINDERMANN,Germany,PSE
M4278,Ewa KLAMT,Germany,PPE-DE
M28244,Wolf KLINZ,Germany,ALDE
M23807,Magda KÓSÁNÉ KOVÁCS,Hungary,PSE
M28181,Miloš KOTEREC,Slovakia,PSE
M26828,Guntars KRASTS,Latvia,UEN
M28616,Ģirts Valdis KRISTOVSKIS,Latvia,UEN
M28374,Wiesław Stefan KUC,Poland,UEN
M1908,Helmut KUHNE,Germany,PSE
M28386,Jan Jerzy KUŁAKOWSKI,Poland,ALDE
M28418,Sepp KUSSTATSCHER,Italy,Verts/ALE
M2329,Joost LAGENDIJK,Netherlands,Verts/ALE
M1980,André LAIGNEL,France,PSE
M2057,Carl LANG,France,NonAttached
M28842,Raymond LANGENDRIES,Belgium,PPE-DE
M4455,Vincenzo LAVARRA,Italy,PSE
M28262,Henrik LAX,Finland,ALDE
M2326,Bernard LEHIDEUX,France,ALDE
M28263,Lasse LEHTINEN,Finland,PSE
M2066,Fernand LE RACHINEL,France,NonAttached
M24087,Marcin LIBICKI,Poland,UEN
M28253,Eva LICHTENBERGER,Austria,Verts/ALE
M1708,Marie-Noëlle LIENEMANN,France,PSE
M28316,Hannu TAKKULA,Finland,ALDE
M21918,Manuel dos SANTOS,Portugal,PSE
M1849,Sylvia-Yvonne KAUFMANN,Germany,PSE
M28228,Albert DESS,Germany,PPE-DE
M1946,Annemie NEYTS-UYTTEBROECK,Belgium,ALDE
M4267,Udo BULLMANN,Germany,PSE
M28341,Mirosław PIOTROWSKI,Poland,UEN
M4289,Angelika NIEBLER,Germany,PPE-DE
M4262,Jo LEINEN,Germany,PSE
M1928,Werner LANGEN,Germany,PPE-DE
M4246,Othmar KARAS,Austria,PPE-DE
M28224,Markus PIEPER,Germany,PPE-DE
