Id,FullName,Country,GroupID
M96845,Corneliu VADIM TUDOR,Romania,NonAttached
M1956,Frank VANHECKE,Belgium,EFD
M4398,Gianni VATTIMO,Italy,ALDE
M28177,Bernadette VERGNAUD,France,S&D
M4308,Alejo VIDAL-QUADRAS,Spain,PPE
M28323,Oldřich VLASÁK,Czechia,ECR
M5737,Dominique VLASTO,France,PPE
M2155,Sir Graham WATSON,United Kingdom,ALDE
M2319,Henri WEBER,France,S&D
M1907,Barbara WEILER,Germany,S&D
M97016,Angelika WERTHMANN,Austria,NonAttached
M28130,Åsa WESTLUND,Sweden,S&D
M96741,Sabine WILS,Germany,GUE/NGL
M96802,Jacek WŁOSOWICZ,Poland,EFD
M28167,Corien WORTMANN-KOOL,Netherlands,PPE
M28278,Luis YÁÑEZ-BARNUEVO GARCÍA,Spain,S&D
M96944,Marina YANNAKOUDAKIS,United Kingdom,ECR
M96777,Paweł ZALEWSKI,Poland,PPE
M41007,Iva ZANICCHI,Italy,PPE
M96778,Artur ZASADA,Poland,ECR
M96803,Zbigniew ZIOBRO,Poland,EFD
M112071,Emer COSTELLO,Ireland,S&D
M112620,Rebecca TAYLOR,United Kingdom,ALDE
M113487,Alda SOUSA,Portugal,GUE/NGL
M113597,Minodora CLIVETI,Romania,S&D
M113890,Karim ZÉRIBI,France,Verts/ALE
M2315,Jean Louis COTTIGNY,France,S&D
M116663,Monika PANAYOTOVA,Bulgaria,PPE
M118709,Fabrizio BERTOT,Italy,PPE
M118710,Franco BONANINI,Italy,NonAttached
M118999,Franco FRIGO,Italy,S&D
M37524,Marusya LYUBCHEVA,Bulgaria,S&D
M113883,Erik BÁNKI,Hungary,PPE
M1832,Marianne THYSSEN,Belgium,PPE
M28407,Willy MEYER,Spain,GUE/NGL
M4540,Philip BRADBOURN,United Kingdom,ECR
M23938,John ATTARD-MONTALTO,Malta,S&D
M28342,Maria BADIA i CUTCHET,Spain,S&D
M21818,Paolo BARTOLOZZI,Italy,PPE
M113891,Jean-Jacob BICEP,France,Verts/ALE
M116816,Preslav BORISSOV,Bulgaria,PPE
M105624,Philippe BOULLAND,France,PPE
M111126,Arkadiusz Tomasz BRATKOWSKI,Poland,PPE
M96716,Zuzana BRZOBOHATÁ,Czechia,S&D
M119438,Zdravka BUŠIĆ,Croatia,PPE
M28324,Milan CABRNOCH,Czechia,ECR
M4536,Martin CALLANAN,United Kingdom,ECR
M96733,Antonio CANCIAN,Italy,PPE
M28311,Luis Manuel CAPOULAS SANTOS,Portugal,S&D
M96866,Salvatore CARONNA,Italy,S&D
M96867,Maria da Graça CARVALHO,Portugal,PPE
M988,Carlo CASINI,Italy,PPE
M4337,Alejandro CERCAS,Spain,S&D
M111823,Nikos CHRYSOGELOS,Greece,Verts/ALE
M1202,Yves COCHET,France,Verts/ALE
M1934,Daniel COHN-BENDIT,France,Verts/ALE
M96975,António Fernando CORREIA DE CAMPOS,France,S&D
M107973,Tarja CRONBERG,Finland,Verts/ALE
M96856,George Sabin CUTAȘ,Romania,S&D
M99325,Spyros DANELLIS,Greece,S&D
M22097,Véronique DE KEYSER,Belgium,S&D
M4347,Christine DE VEYRAC,France,PPE
M96888,Leonardo DOMENICI,Italy,S&D
M96692,Leonidas DONSKIS,Lithuania,ALDE
M1419,James ELLES,United Kingdom,ECR
M96859,Ioan ENCIU,Romania,S&D
M97133,Derk Jan EPPINK,Belgium,ECR
M96682,Sari ESSAYAH,Finland,PPE
